created_at,price_usd,cogs_usd
"2014-01-01 00:22:54",59.99,22.49
"2014-01-01 02:20:50",49.99,19.49
"2014-01-01 04:06:48",45.99,14.49
"2014-01-01 04:28:40",49.99,19.49
"2014-01-01 05:03:54",59.99,22.49
"2014-01-01 05:13:21",45.99,14.49
"2014-01-01 05:28:42",49.99,19.49
"2014-01-01 06:31:20",49.99,19.49
"2014-01-01 06:57:43",49.99,19.49
"2014-01-01 07:10:14",49.99,19.49
"2014-01-01 07:27:32",49.99,19.49
"2014-01-01 07:27:45",49.99,19.49
"2014-01-01 07:38:39",49.99,19.49
"2014-01-01 07:40:10",49.99,19.49
"2014-01-01 08:41:28",49.99,19.49
"2014-01-01 08:48:06",95.98,33.98
"2014-01-01 09:51:33",49.99,19.49
"2014-01-01 10:00:59",49.99,19.49
"2014-01-01 10:02:21",59.99,22.49
"2014-01-01 11:50:02",95.98,33.98
"2014-01-01 12:28:49",95.98,33.98
"2014-01-01 12:30:05",59.99,22.49
"2014-01-01 12:40:42",59.99,22.49
"2014-01-01 12:51:00",109.98,41.98
"2014-01-01 13:05:52",49.99,19.49
"2014-01-01 13:26:09",59.99,22.49
"2014-01-01 14:39:45",49.99,19.49
"2014-01-01 15:12:11",49.99,19.49
"2014-01-01 16:00:05",95.98,33.98
"2014-01-01 16:05:10",49.99,19.49
"2014-01-01 16:16:36",45.99,14.49
"2014-01-01 17:52:12",49.99,19.49
"2014-01-01 18:08:38",49.99,19.49
"2014-01-01 18:34:47",49.99,19.49
"2014-01-01 19:52:12",49.99,19.49
"2014-01-01 20:21:46",49.99,19.49
"2014-01-01 20:24:56",59.99,22.49
"2014-01-01 20:35:42",49.99,19.49
"2014-01-02 00:28:05",45.99,14.49
"2014-01-02 03:16:23",49.99,19.49
"2014-01-02 04:26:35",49.99,19.49
"2014-01-02 05:05:14",109.98,41.98
"2014-01-02 05:24:33",59.99,22.49
"2014-01-02 06:21:06",49.99,19.49
"2014-01-02 06:21:51",95.98,33.98
"2014-01-02 08:02:37",45.99,14.49
"2014-01-02 08:38:25",49.99,19.49
"2014-01-02 09:29:53",49.99,19.49
"2014-01-02 09:36:44",95.98,33.98
"2014-01-02 09:51:15",49.99,19.49
"2014-01-02 09:51:53",49.99,19.49
"2014-01-02 11:04:02",49.99,19.49
"2014-01-02 12:02:05",59.99,22.49
"2014-01-02 12:19:50",49.99,19.49
"2014-01-02 13:31:56",45.99,14.49
"2014-01-02 13:49:43",49.99,19.49
"2014-01-02 14:06:07",49.99,19.49
"2014-01-02 14:12:27",95.98,33.98
"2014-01-02 14:57:54",49.99,19.49
"2014-01-02 15:12:36",49.99,19.49
"2014-01-02 15:26:52",45.99,14.49
"2014-01-02 15:52:04",95.98,33.98
"2014-01-02 17:30:53",49.99,19.49
"2014-01-02 17:42:27",49.99,19.49
"2014-01-02 18:08:51",45.99,14.49
"2014-01-02 22:04:38",49.99,19.49
"2014-01-02 22:18:06",49.99,19.49
"2014-01-02 23:03:31",49.99,19.49
"2014-01-03 04:17:23",49.99,19.49
"2014-01-03 05:12:22",49.99,19.49
"2014-01-03 05:35:17",45.99,14.49
"2014-01-03 07:02:59",49.99,19.49
"2014-01-03 07:30:27",49.99,19.49
"2014-01-03 08:28:31",49.99,19.49
"2014-01-03 08:29:13",49.99,19.49
"2014-01-03 09:30:09",49.99,19.49
"2014-01-03 09:51:59",45.99,14.49
"2014-01-03 11:40:20",49.99,19.49
"2014-01-03 11:44:41",49.99,19.49
"2014-01-03 12:03:07",45.99,14.49
"2014-01-03 12:10:53",49.99,19.49
"2014-01-03 12:25:22",49.99,19.49
